Sample_Type,Cycle,Capacity,Data_Type
Sample A,1,0.5277,History
Sample A,2,0.5266,History
Sample A,3,0.5263,History
Sample A,4,0.528,History
Sample A,5,0.5296,History
Sample A,6,0.5302,History
Sample A,7,0.5305,History
Sample A,8,0.5313,History
Sample A,9,0.5317,History
Sample A,10,0.5322,History
Sample A,11,0.5331,History
Sample A,12,0.5189,History
Sample A,13,0.5198,History
Sample A,14,0.5173,History
Sample A,15,0.518,History
Sample A,16,0.5184,History
Sample A,17,0.5164,History
Sample A,18,0.5148,History
Sample A,19,0.5161,History
Sample A,20,0.5164,History
Sample A,21,0.5166,History
Sample A,22,0.517,History
Sample A,23,0.517,History
Sample A,24,0.5172,History
Sample A,25,0.5176,History
Sample A,26,0.5176,History
Sample A,27,0.5176,History
Sample A,28,0.5177,History
Sample A,29,0.5182,History
Sample A,30,0.5184,History
Sample A,31,0.5187,History
Sample A,32,0.5183,History
Sample A,33,0.5182,History
Sample A,34,0.5125,History
Sample A,35,0.5132,History
Sample A,36,0.5137,History
Sample A,37,0.5143,History
Sample A,38,0.5142,History
Sample A,39,0.5142,History
Sample A,40,0.5142,History
Sample A,41,0.5144,History
Sample A,42,0.5144,History
Sample A,43,0.5145,History
Sample A,44,0.5145,History
Sample A,45,0.5145,History
Sample A,46,0.5147,History
Sample A,47,0.5148,History
Sample A,48,0.5146,History
Sample A,49,0.5149,History
Sample A,50,0.5121,History
Sample A,51,0.5122,History
Sample A,52,0.512,History
Sample A,53,0.509,History
Sample A,54,0.5101,History
Sample A,55,0.5103,History
Sample A,56,0.5093,History
Sample A,57,0.5088,History
Sample A,58,0.4884,History
Sample A,59,0.4888,History
Sample A,60,0.4895,History
Sample A,61,0.4895,History
Sample A,62,0.4898,History
Sample A,63,0.4897,History
Sample A,64,0.4899,History
Sample A,65,0.4899,History
Sample A,66,0.4902,History
Sample A,67,0.49,History
Sample A,68,0.4898,History
Sample A,69,0.4898,History
Sample A,70,0.49,History
Sample A,71,0.49,History
Sample A,72,0.4902,History
Sample A,73,0.4902,History
Sample A,74,0.4798,History
Sample A,75,0.4808,History
Sample A,76,0.4814,History
Sample A,77,0.4816,History
Sample A,78,0.4817,History
Sample A,79,0.4816,History
Sample A,80,0.4817,History
Sample A,81,0.482,History
Sample A,82,0.4819,History
Sample A,83,0.4821,History
Sample A,84,0.4821,History
Sample A,85,0.4822,History
Sample A,86,0.4823,History
Sample A,87,0.4826,History
Sample A,88,0.4824,History
Sample A,89,0.4822,History
Sample A,90,0.4822,History
Sample A,91,0.4819,History
Sample A,92,0.4822,History
Sample A,93,0.481,History
Sample A,94,0.4814,History
Sample A,95,0.4816,History
Sample A,96,0.482,History
Sample A,97,0.4819,History
Sample A,98,0.4822,History
Sample A,99,0.4817,History
Sample A,100,0.4734,History
Sample A,101,0.428369957,Prediction
Sample A,102,0.427977497,Prediction
Sample A,103,0.427617492,Prediction
Sample A,104,0.427196276,Prediction
Sample A,105,0.42721118,Prediction
Sample A,106,0.427255454,Prediction
Sample A,107,0.427354672,Prediction
Sample A,108,0.427354631,Prediction
Sample A,109,0.427316207,Prediction
Sample A,110,0.427302362,Prediction
Sample A,111,0.427458354,Prediction
Sample A,112,0.427466127,Prediction
Sample A,113,0.427453277,Prediction
Sample A,114,0.427453378,Prediction
Sample A,115,0.427452309,Prediction
Sample A,116,0.427373597,Prediction
Sample A,117,0.427381959,Prediction
Sample A,118,0.427283316,Prediction
Sample A,119,0.427291481,Prediction
Sample A,120,0.427293233,Prediction
Sample A,121,0.427293206,Prediction
Sample A,122,0.427056037,Prediction
Sample A,123,0.427091261,Prediction
Sample A,124,0.427094089,Prediction
Sample A,125,0.427110635,Prediction
Sample A,126,0.427109501,Prediction
Sample A,127,0.427108703,Prediction
Sample A,128,0.427095213,Prediction
Sample A,129,0.42712122,Prediction
Sample A,130,0.427130359,Prediction
Sample A,131,0.427128683,Prediction
